inventory_id,warehouse_id,product_id,stock_qty,reorder_point,last_restocked_at
1,1,1,116,61,2024-09-22 01:36:55+00:00
2,1,2,193,39,2025-01-22 01:14:53+00:00
3,1,4,40,22,2024-10-12 08:44:38+00:00
4,1,6,46,11,2025-07-11 21:37:02+00:00
5,1,7,150,46,2025-06-13 19:39:41+00:00
6,1,8,46,36,2025-06-05 00:29:31+00:00
7,1,12,222,37,2023-08-26 04:27:46+00:00
8,1,13,106,44,2022-09-11 18:39:50+00:00
9,1,14,156,36,2023-07-15 00:50:07+00:00
10,1,18,93,28,2024-07-19 00:36:56+00:00
11,1,20,130,26,2025-03-13 18:15:12+00:00
12,1,23,205,48,2023-01-05 00:43:00+00:00
13,1,24,190,65,2024-07-16 06:55:15+00:00
14,1,25,220,56,2023-04-25 05:36:16+00:00
15,1,27,147,32,2024-04-01 06:38:39+00:00
16,1,28,263,24,2023-08-17 08:24:32+00:00
17,1,29,88,22,2022-11-12 13:29:12+00:00
18,1,30,138,41,2025-07-07 10:36:21+00:00
19,1,32,187,31,2022-10-12 00:57:24+00:00
20,1,33,21,39,2025-06-02 15:11:07+00:00
21,1,40,183,35,2025-03-06 16:27:12+00:00
22,1,42,117,43,2024-09-25 10:35:27+00:00
23,1,44,211,34,2024-07-22 07:23:42+00:00
24,1,50,40,26,2025-05-20 21:57:25+00:00
25,1,54,115,8,2025-02-25 13:19:44+00:00
26,1,55,171,23,2024-08-27 13:12:16+00:00
27,1,64,155,37,2022-10-19 06:11:04+00:00
28,1,68,106,59,2024-02-05 04:19:08+00:00
29,1,69,91,24,2022-11-23 02:42:34+00:00
30,1,73,142,47,2025-03-27 13:25:38+00:00
31,1,75,124,20,2025-02-06 17:55:16+00:00
32,1,77,166,44,2025-02-26 10:34:19+00:00
33,1,82,249,31,2025-03-16 11:31:35+00:00
34,1,85,137,26,2025-07-19 08:48:13+00:00
35,1,87,35,36,2024-03-18 11:32:28+00:00
36,1,90,176,19,2022-11-17 02:59:50+00:00
37,1,91,84,17,2024-05-18 11:43:28+00:00
38,1,96,205,25,2025-07-01 09:12:14+00:00
39,1,99,159,22,2022-10-06 02:30:47+00:00
40,1,101,129,25,2023-03-01 19:10:41+00:00
41,1,103,25,36,2023-11-16 03:04:22+00:00
42,1,104,156,6,2024-03-31 15:49:02+00:00
43,1,105,114,28,2023-10-25 12:16:50+00:00
44,1,109,60,31,2024-05-09 13:47:11+00:00
45,1,112,8,38,2023-12-31 20:27:47+00:00
46,1,114,196,16,2024-10-27 20:44:09+00:00
47,1,115,121,56,2023-11-10 17:08:16+00:00
48,1,116,132,27,2024-10-14 04:55:06+00:00
49,1,117,70,37,2024-03-28 20:41:04+00:00
50,1,118,117,44,2025-02-12 03:59:03+00:00
51,1,119,33,51,2024-11-09 07:21:13+00:00
52,1,120,100,44,2023-04-02 05:47:00+00:00
53,1,121,81,15,2025-02-02 05:48:50+00:00
54,1,122,90,20,2023-07-06 11:36:54+00:00
55,1,123,102,44,2023-06-14 11:19:08+00:00
56,1,125,189,38,2022-11-19 17:53:23+00:00
57,1,128,92,28,2025-07-25 01:51:32+00:00
58,1,130,160,52,2023-06-02 22:22:09+00:00
59,1,134,105,33,2023-04-12 20:11:31+00:00
60,1,135,79,38,2023-04-30 05:17:40+00:00
61,1,136,182,18,2024-05-28 18:46:35+00:00
62,1,137,140,26,2024-12-28 12:02:14+00:00
63,1,139,24,39,2024-03-25 18:19:00+00:00
64,1,149,119,40,2023-05-03 05:25:19+00:00
65,1,152,43,67,2024-10-23 06:29:21+00:00
66,1,154,131,29,2022-12-25 11:36:33+00:00
67,1,155,216,44,2023-05-24 14:18:36+00:00
68,1,156,174,52,2024-08-30 17:55:43+00:00
69,1,158,9,60,2025-08-18 10:28:25+00:00
70,1,159,104,39,2025-02-02 22:51:28+00:00
71,1,161,180,24,2024-06-19 03:20:44+00:00
72,1,168,144,46,2024-07-26 13:57:00+00:00
73,1,169,122,42,2023-02-16 14:48:39+00:00
74,1,170,28,17,2023-01-08 13:36:34+00:00
75,1,172,55,40,2023-08-13 13:56:20+00:00
76,1,180,349,38,2023-02-16 04:18:05+00:00
77,1,182,116,34,2023-06-28 14:23:53+00:00
78,1,183,183,45,2025-01-01 21:14:16+00:00
79,1,185,56,50,2025-05-16 05:52:18+00:00
80,1,187,123,47,2023-06-12 22:34:58+00:00
81,1,188,5,11,2023-05-05 11:15:38+00:00
82,1,189,160,7,2023-09-18 15:51:00+00:00
83,1,191,148,40,2024-06-06 07:22:19+00:00
84,1,193,133,40,2022-09-25 05:26:19+00:00
85,1,195,140,41,2023-02-05 03:45:02+00:00
86,1,200,100,34,2025-04-20 17:47:24+00:00
87,1,201,300,52,2024-06-03 01:57:36+00:00
88,1,202,161,40,2023-05-16 11:53:42+00:00
89,1,206,81,38,2024-12-26 12:57:44+00:00
90,1,208,110,49,2024-05-25 06:20:18+00:00
91,1,212,70,10,2024-04-07 11:18:05+00:00
92,1,213,91,45,2022-12-26 22:26:40+00:00
93,1,214,272,50,2024-02-11 08:50:35+00:00
94,1,222,66,31,2023-12-30 08:05:25+00:00
95,1,224,67,32,2023-04-15 17:14:59+00:00
96,1,227,71,10,2023-08-28 02:34:13+00:00
97,1,228,151,37,2023-07-12 22:40:46+00:00
98,1,231,114,40,2023-11-14 02:08:47+00:00
99,1,232,246,36,2023-10-03 18:11:54+00:00
100,1,239,102,47,2025-08-16 03:39:35+00:00
101,1,241,26,46,2024-01-17 06:13:00+00:00
102,1,242,78,22,2024-11-20 04:46:43+00:00
103,1,244,131,60,2023-02-26 09:25:03+00:00
104,1,245,80,49,2024-07-08 10:25:28+00:00
105,1,251,147,14,2024-09-30 17:32:38+00:00
106,1,253,179,22,2025-03-07 19:32:51+00:00
107,1,260,36,23,2024-01-09 04:06:38+00:00
108,1,261,81,43,2024-06-29 13:40:41+00:00
109,1,263,81,57,2023-03-25 19:31:01+00:00
110,1,265,138,24,2025-01-09 06:01:08+00:00
111,1,266,74,38,2024-11-27 13:06:29+00:00
112,1,268,6,7,2025-05-12 13:04:51+00:00
113,1,272,71,44,2024-11-17 20:06:09+00:00
114,1,273,135,35,2022-11-23 03:09:32+00:00
115,1,274,112,7,2025-08-26 03:28:14+00:00
116,1,275,105,8,2023-01-24 20:11:25+00:00
117,1,276,175,34,2024-01-10 11:58:21+00:00
118,1,283,119,40,2023-05-05 18:39:05+00:00
119,1,284,144,38,2023-09-01 18:15:55+00:00
120,1,288,145,26,2025-07-28 16:37:37+00:00
121,1,290,44,40,2023-11-02 01:07:24+00:00
122,1,291,211,50,2022-12-21 01:37:07+00:00
123,1,293,112,44,2023-05-11 17:43:15+00:00
124,1,296,98,40,2025-02-27 18:58:15+00:00
125,1,297,88,37,2023-01-11 14:10:43+00:00
126,1,299,245,46,2024-07-04 07:02:15+00:00
127,1,300,214,23,2023-04-27 06:09:57+00:00
128,1,302,83,34,2024-01-25 06:57:46+00:00
