shipment_event_id,shipment_id,event_time,event_type,location
1,1,2024-07-29 19:55:45+00:00,label_created,India
2,1,2024-07-30 05:55:45+00:00,picked_up,Peru
3,1,2024-07-30 18:55:45+00:00,in_transit,Japan
4,1,2024-07-31 08:55:45+00:00,customs_clearance,Australia
5,1,2024-07-31 23:55:45+00:00,out_for_delivery,Brazil
6,2,2023-11-16 00:14:52+00:00,label_created,Netherlands
7,2,2023-11-16 16:14:52+00:00,picked_up,Netherlands
8,3,2025-04-11 06:45:37+00:00,label_created,Japan
9,3,2025-04-11 20:45:37+00:00,picked_up,Peru
10,3,2025-04-12 05:45:37+00:00,in_transit,Peru
11,4,2024-06-20 15:41:09+00:00,label_created,Paraguay
12,4,2024-06-20 22:41:09+00:00,picked_up,Netherlands
13,4,2024-06-21 16:41:09+00:00,in_transit,Paraguay
14,5,2024-05-02 05:10:25+00:00,label_created,Netherlands
15,5,2024-05-02 18:10:25+00:00,picked_up,Peru
16,5,2024-05-03 09:10:25+00:00,in_transit,Japan
17,6,2024-12-12 03:23:45+00:00,label_created,Japan
18,6,2024-12-12 14:23:45+00:00,picked_up,Bolivia
19,7,2024-06-29 08:17:55+00:00,label_created,Brazil
20,7,2024-06-29 21:17:55+00:00,picked_up,Netherlands
21,8,2024-01-21 15:50:23+00:00,label_created,Peru
22,8,2024-01-22 00:50:23+00:00,picked_up,India
23,8,2024-01-22 16:50:23+00:00,in_transit,India
24,8,2024-01-23 01:50:23+00:00,customs_clearance,Bolivia
25,9,2024-08-15 03:23:08+00:00,label_created,Brazil
26,9,2024-08-15 20:23:08+00:00,picked_up,Peru
27,10,2025-08-25 17:50:16+00:00,label_created,India
28,10,2025-08-26 06:50:16+00:00,picked_up,Netherlands
29,10,2025-08-26 22:50:16+00:00,in_transit,Brazil
30,10,2025-08-27 06:50:16+00:00,customs_clearance,Japan
31,10,2025-08-27 22:50:16+00:00,out_for_delivery,Japan
32,11,2024-07-03 19:57:39+00:00,label_created,Japan
33,11,2024-07-04 02:57:39+00:00,picked_up,India
34,11,2024-07-04 15:57:39+00:00,in_transit,Australia
35,11,2024-07-05 06:57:39+00:00,customs_clearance,Paraguay
36,12,2024-05-01 13:55:51+00:00,label_created,Brazil
37,12,2024-05-02 03:55:51+00:00,picked_up,Netherlands
38,12,2024-05-02 13:55:51+00:00,in_transit,Peru
39,12,2024-05-03 05:55:51+00:00,customs_clearance,Australia
40,12,2024-05-03 19:55:51+00:00,out_for_delivery,New Zealand
41,13,2024-02-06 23:53:13+00:00,label_created,Paraguay
42,13,2024-02-07 11:53:13+00:00,picked_up,New Zealand
43,13,2024-02-07 20:53:13+00:00,in_transit,Brazil
44,13,2024-02-08 11:53:13+00:00,customs_clearance,Paraguay
45,13,2024-02-08 18:53:13+00:00,out_for_delivery,Paraguay
46,14,2025-07-05 08:23:55+00:00,label_created,Japan
47,14,2025-07-05 16:23:55+00:00,picked_up,Japan
48,14,2025-07-06 07:23:55+00:00,in_transit,Brazil
49,15,2023-07-16 04:41:28+00:00,label_created,Australia
50,15,2023-07-16 14:41:28+00:00,picked_up,Peru
51,15,2023-07-17 04:41:28+00:00,in_transit,New Zealand
52,15,2023-07-17 10:41:28+00:00,customs_clearance,Japan
53,15,2023-07-18 00:41:28+00:00,out_for_delivery,Brazil
54,16,2025-08-24 01:29:27+00:00,label_created,Peru
55,16,2025-08-24 11:29:27+00:00,picked_up,Japan
56,16,2025-08-25 01:29:27+00:00,in_transit,Japan
57,16,2025-08-25 14:29:27+00:00,customs_clearance,Australia
58,16,2025-08-25 21:29:27+00:00,out_for_delivery,Bolivia
59,17,2024-10-31 22:35:19+00:00,label_created,Brazil
60,17,2024-11-01 12:35:19+00:00,picked_up,Japan
61,18,2023-10-18 18:39:10+00:00,label_created,Paraguay
62,18,2023-10-19 05:39:10+00:00,picked_up,Paraguay
63,18,2023-10-19 20:39:10+00:00,in_transit,New Zealand
64,19,2023-12-17 20:17:06+00:00,label_created,Paraguay
65,19,2023-12-18 05:17:06+00:00,picked_up,India
66,19,2023-12-18 18:17:06+00:00,in_transit,Brazil
67,19,2023-12-19 10:17:06+00:00,customs_clearance,Peru
68,20,2023-09-21 23:48:38+00:00,label_created,Brazil
69,20,2023-09-22 11:48:38+00:00,picked_up,India
70,20,2023-09-22 23:48:38+00:00,in_transit,New Zealand
71,20,2023-09-23 12:48:38+00:00,customs_clearance,Japan
72,20,2023-09-24 01:48:38+00:00,out_for_delivery,India
73,21,2023-11-22 09:13:29+00:00,label_created,Brazil
74,21,2023-11-22 19:13:29+00:00,picked_up,Peru
75,21,2023-11-23 08:13:29+00:00,in_transit,New Zealand
76,21,2023-11-23 21:13:29+00:00,customs_clearance,Canada
77,22,2024-05-19 17:36:27+00:00,label_created,Netherlands
78,22,2024-05-20 05:36:27+00:00,picked_up,Brazil
79,22,2024-05-20 19:36:27+00:00,in_transit,Peru
80,23,2024-01-12 17:41:08+00:00,label_created,New Zealand
81,23,2024-01-13 04:41:08+00:00,picked_up,Canada
82,23,2024-01-13 18:41:08+00:00,in_transit,Paraguay
83,23,2024-01-14 04:41:08+00:00,customs_clearance,Japan
84,24,2024-10-02 20:43:43+00:00,label_created,Japan
85,24,2024-10-03 12:43:43+00:00,picked_up,Brazil
86,25,2023-11-05 02:33:18+00:00,label_created,Paraguay
87,25,2023-11-05 12:33:18+00:00,picked_up,Peru
88,25,2023-11-06 04:33:18+00:00,in_transit,Australia
89,26,2025-06-06 20:54:06+00:00,label_created,Japan
90,26,2025-06-07 06:54:06+00:00,picked_up,India
91,26,2025-06-07 17:54:06+00:00,in_transit,Brazil
92,26,2025-06-08 02:54:06+00:00,customs_clearance,New Zealand
93,27,2023-10-08 10:51:58+00:00,label_created,Brazil
94,27,2023-10-09 01:51:58+00:00,picked_up,Brazil
95,27,2023-10-09 11:51:58+00:00,in_transit,Australia
96,28,2024-03-21 03:19:13+00:00,label_created,Japan
97,28,2024-03-21 13:19:13+00:00,picked_up,Brazil
98,28,2024-03-22 03:19:13+00:00,in_transit,Brazil
99,29,2024-02-08 02:57:34+00:00,label_created,India
100,29,2024-02-08 12:57:34+00:00,picked_up,India
101,30,2024-04-06 08:46:31+00:00,label_created,New Zealand
102,30,2024-04-06 19:46:31+00:00,picked_up,Canada
103,30,2024-04-07 07:46:31+00:00,in_transit,Paraguay
104,30,2024-04-07 14:46:31+00:00,customs_clearance,Japan
105,30,2024-04-08 06:46:31+00:00,out_for_delivery,Netherlands
106,31,2024-05-22 15:55:53+00:00,label_created,New Zealand
107,31,2024-05-23 00:55:53+00:00,picked_up,Brazil
108,32,2024-07-18 08:27:53+00:00,label_created,Netherlands
109,32,2024-07-18 21:27:53+00:00,picked_up,Brazil
110,33,2023-12-17 02:56:11+00:00,label_created,Paraguay
111,33,2023-12-17 14:56:11+00:00,picked_up,New Zealand
112,33,2023-12-17 23:56:11+00:00,in_transit,New Zealand
113,34,2024-05-28 17:42:15+00:00,label_created,New Zealand
114,34,2024-05-29 00:42:15+00:00,picked_up,Paraguay
115,35,2025-03-15 18:27:09+00:00,label_created,India
116,35,2025-03-16 07:27:09+00:00,picked_up,Japan
117,36,2023-12-18 14:41:46+00:00,label_created,India
118,36,2023-12-19 00:41:46+00:00,picked_up,Bolivia
119,37,2025-05-15 02:39:42+00:00,label_created,Peru
120,37,2025-05-15 16:39:42+00:00,picked_up,Canada
121,37,2025-05-16 05:39:42+00:00,in_transit,Canada
122,37,2025-05-16 17:39:42+00:00,customs_clearance,Australia
123,37,2025-05-16 23:39:42+00:00,out_for_delivery,Australia
124,38,2024-07-11 09:13:33+00:00,label_created,Bolivia
125,38,2024-07-11 19:13:33+00:00,picked_up,Japan
126,39,2023-12-06 15:02:09+00:00,label_created,Japan
127,39,2023-12-07 02:02:09+00:00,picked_up,Netherlands
128,40,2024-01-04 15:47:23+00:00,label_created,New Zealand
129,40,2024-01-05 03:47:23+00:00,picked_up,Japan
130,41,2025-07-08 01:08:56+00:00,label_created,Japan
131,41,2025-07-08 09:08:56+00:00,picked_up,India
132,41,2025-07-08 19:08:56+00:00,in_transit,New Zealand
133,41,2025-07-09 09:08:56+00:00,customs_clearance,Netherlands
134,42,2023-07-04 17:03:46+00:00,label_created,India
135,42,2023-07-05 02:03:46+00:00,picked_up,Japan
136,42,2023-07-05 15:03:46+00:00,in_transit,Canada
137,42,2023-07-06 02:03:46+00:00,customs_clearance,Brazil
138,42,2023-07-06 16:03:46+00:00,out_for_delivery,Brazil
139,43,2023-12-07 03:46:10+00:00,label_created,Japan
140,43,2023-12-07 13:46:10+00:00,picked_up,Japan
141,44,2024-07-21 01:55:43+00:00,label_created,Paraguay
142,44,2024-07-21 12:55:43+00:00,picked_up,Brazil
143,45,2024-06-05 07:48:58+00:00,label_created,Brazil
144,45,2024-06-05 18:48:58+00:00,picked_up,Netherlands
145,45,2024-06-06 08:48:58+00:00,in_transit,Peru
146,46,2024-11-09 05:12:48+00:00,label_created,Japan
147,46,2024-11-09 17:12:48+00:00,picked_up,Bolivia
148,46,2024-11-10 04:12:48+00:00,in_transit,Bolivia
149,46,2024-11-10 20:12:48+00:00,customs_clearance,Brazil
150,47,2025-01-16 00:40:52+00:00,label_created,India
151,47,2025-01-16 08:40:52+00:00,picked_up,New Zealand
152,47,2025-01-16 23:40:52+00:00,in_transit,Paraguay
153,48,2025-05-27 19:07:09+00:00,label_created,Peru
154,48,2025-05-28 07:07:09+00:00,picked_up,Canada
155,48,2025-05-28 21:07:09+00:00,in_transit,Brazil
156,48,2025-05-29 06:07:09+00:00,customs_clearance,Brazil
157,49,2025-04-08 11:17:31+00:00,label_created,Bolivia
158,49,2025-04-09 00:17:31+00:00,picked_up,Paraguay
159,49,2025-04-09 15:17:31+00:00,in_transit,Canada
160,50,2024-10-08 18:46:08+00:00,label_created,India
161,50,2024-10-09 11:46:08+00:00,picked_up,Japan
162,50,2024-10-09 20:46:08+00:00,in_transit,Peru
163,50,2024-10-10 08:46:08+00:00,customs_clearance,India
164,51,2023-10-30 20:51:07+00:00,label_created,Paraguay
165,51,2023-10-31 10:51:07+00:00,picked_up,Brazil
166,51,2023-11-01 00:51:07+00:00,in_transit,India
167,51,2023-11-01 13:51:07+00:00,customs_clearance,Paraguay
168,52,2025-09-07 12:10:41+00:00,label_created,Bolivia
169,52,2025-09-08 00:10:41+00:00,picked_up,Canada
170,52,2025-09-08 14:10:41+00:00,in_transit,Brazil
171,52,2025-09-08 21:10:41+00:00,customs_clearance,Canada
172,53,2023-09-19 10:54:28+00:00,label_created,Canada
173,53,2023-09-19 22:54:28+00:00,picked_up,Japan
174,53,2023-09-20 12:54:28+00:00,in_transit,Netherlands
175,53,2023-09-20 23:54:28+00:00,customs_clearance,Japan
176,54,2024-12-19 11:24:56+00:00,label_created,Brazil
177,54,2024-12-20 00:24:56+00:00,picked_up,Netherlands
178,54,2024-12-20 08:24:56+00:00,in_transit,Bolivia
179,54,2024-12-21 00:24:56+00:00,customs_clearance,Peru
180,54,2024-12-21 06:24:56+00:00,out_for_delivery,Netherlands
181,55,2024-11-08 14:06:22+00:00,label_created,Japan
182,55,2024-11-08 22:06:22+00:00,picked_up,Australia
183,55,2024-11-09 11:06:22+00:00,in_transit,Brazil
184,55,2024-11-09 23:06:22+00:00,customs_clearance,India
185,56,2025-06-02 03:32:08+00:00,label_created,Peru
